file,contrast_Lc,contrast_status,clarity_score,clarity_status,overall_status
sample_212.jpg,4.98,fail,0.0,fail,fail
sample_213.jpg,17.45,fail,2.66,fail,fail
sample_214.jpg,0.0,fail,0.0,fail,fail
sample_215.jpg,0.0,fail,0.0,fail,fail
sample_216.jpg,45.14,pass,0.23,fail,fail
sample_217.jpg,0.0,fail,62.49,pass,fail
sample_218.jpg,48.89,pass,80.55,pass,pass
sample_219.jpg,0.0,fail,0.0,fail,fail
sample_220.jpg,0.0,fail,0.0,fail,fail
sample_221.jpg,-0.17,fail,0.0,fail,fail
sample_222.jpg,15.05,fail,3.38,fail,fail
sample_223.jpg,0.0,fail,62.4,pass,fail
sample_224.jpg,0.0,fail,49.85,pass,fail
sample_225.jpg,10.15,fail,0.0,fail,fail
sample_226.jpg,33.1,pass,61.18,pass,pass
sample_227.jpg,0.0,fail,0.0,fail,fail
sample_228.jpg,55.14,pass,1.25,fail,fail
sample_229.jpg,0.0,fail,0.0,fail,fail
sample_230.jpg,0.0,fail,84.13,pass,fail
sample_231.jpg,0.0,fail,0.0,fail,fail
sample_232.jpg,29.28,pass,3.84,fail,fail
sample_233.jpg,45.26,pass,58.09,pass,pass
sample_234.jpg,0.0,fail,58.19,pass,fail
sample_235.jpg,0.0,fail,34.12,pass,fail
sample_236.jpg,0.0,fail,0.0,fail,fail
sample_237.jpg,15.2,fail,34.77,pass,fail
sample_238.jpg,0.0,fail,0.0,fail,fail
sample_239.jpg,19.04,fail,2.35,fail,fail
sample_240.jpg,0.0,fail,21.04,fail,fail
sample_241.jpg,27.1,pass,18.07,fail,fail
sample_242.jpg,0.0,fail,0.0,fail,fail
sample_243.jpg,0.0,fail,68.01,pass,fail
sample_244.jpg,0.0,fail,61.35,pass,fail
sample_245.jpg,0.0,fail,21.79,fail,fail
sample_246.jpg,0.0,fail,0.0,fail,fail
sample_247.jpg,0.0,fail,58.15,pass,fail
sample_248.jpg,9.03,fail,8.29,fail,fail
sample_249.jpg,0.0,fail,0.0,fail,fail
sample_250.jpg,0.0,fail,0.0,fail,fail
sample_251.jpg,4.66,fail,0.0,fail,fail
sample_252.jpg,0.0,fail,10.25,fail,fail
sample_253.jpg,0.0,fail,64.81,pass,fail
sample_254.jpg,36.61,pass,8.37,fail,fail
sample_255.jpg,0.0,fail,0.0,fail,fail
sample_256.jpg,0.0,fail,58.09,pass,fail
sample_257.jpg,0.0,fail,58.01,pass,fail
sample_258.jpg,0.0,fail,0.0,fail,fail
sample_259.jpg,0.0,fail,79.95,pass,fail
sample_260.jpg,15.37,fail,0.0,fail,fail
sample_261.jpg,12.55,fail,1.84,fail,fail
sample_262.jpg,22.61,fail,58.18,pass,fail
sample_263.jpg,0.0,fail,24.89,fail,fail
sample_264.jpg,35.01,pass,4.68,fail,fail
sample_265.jpg,0.0,fail,0.0,fail,fail
sample_266.jpg,12.75,fail,63.47,pass,fail
sample_267.jpg,0.0,fail,62.67,pass,fail
sample_268.jpg,0.0,fail,61.36,pass,fail
sample_269.jpg,24.08,fail,0.79,fail,fail
sample_270.jpg,0.0,fail,58.09,pass,fail
sample_271.jpg,0.0,fail,80.88,pass,fail
sample_272.jpg,0.0,fail,23.6,fail,fail
sample_273.jpg,0.0,fail,0.0,fail,fail
sample_274.jpg,0.0,fail,0.0,fail,fail
sample_275.jpg,0.0,fail,69.24,pass,fail
sample_276.jpg,0.0,fail,0.0,fail,fail
sample_277.jpg,0.0,fail,0.0,fail,fail
sample_278.jpg,21.03,fail,0.0,fail,fail
sample_279.jpg,0.0,fail,68.25,pass,fail
sample_280.jpg,38.81,pass,0.0,fail,fail
sample_281.jpg,0.0,fail,0.0,fail,fail
sample_282.jpg,22.51,fail,0.0,fail,fail
sample_283.jpg,0.0,fail,0.0,fail,fail
sample_284.jpg,25.11,pass,61.59,pass,pass
sample_285.jpg,0.0,fail,0.0,fail,fail
sample_286.jpg,0.0,fail,0.0,fail,fail
sample_287.jpg,30.41,pass,18.25,fail,fail
sample_288.jpg,23.24,fail,0.0,fail,fail
sample_289.jpg,0.0,fail,0.0,fail,fail
sample_290.jpg,0.0,fail,0.0,fail,fail
sample_291.jpg,0.0,fail,68.16,pass,fail
sample_292.jpg,54.28,pass,1.15,fail,fail
sample_293.jpg,36.57,pass,0.58,fail,fail
sample_294.jpg,33.51,pass,2.02,fail,fail
sample_295.jpg,13.42,fail,0.53,fail,fail
sample_296.jpg,0.9,fail,47.02,pass,fail
sample_297.jpg,0.0,fail,0.0,fail,fail
sample_298.jpg,0.0,fail,0.0,fail,fail
sample_299.jpg,0.0,fail,0.0,fail,fail
sample_300.jpg,1.42,fail,0.0,fail,fail
sample_301.jpg,25.98,pass,0.12,fail,fail
sample_302.jpg,52.98,pass,12.81,fail,fail
sample_303.jpg,49.42,pass,4.74,fail,fail
sample_304.jpg,53.66,pass,0.9,fail,fail
sample_305.jpg,0.0,fail,0.0,fail,fail
sample_306.jpg,0.0,fail,0.0,fail,fail
sample_307.jpg,35.0,pass,8.92,fail,fail
sample_308.jpg,0.0,fail,0.0,fail,fail
sample_309.jpg,0.0,fail,80.87,pass,fail
sample_310.jpg,0.0,fail,67.76,pass,fail
sample_311.jpg,0.0,fail,70.81,pass,fail
sample_312.jpg,0.0,fail,78.2,pass,fail
sample_313.jpg,17.46,fail,4.01,fail,fail
sample_314.jpg,0.0,fail,0.0,fail,fail
sample_315.jpg,0.0,fail,0.0,fail,fail
sample_316.jpg,52.82,pass,14.06,fail,fail
sample_317.jpg,0.0,fail,0.0,fail,fail
sample_318.jpg,0.0,fail,0.0,fail,fail
sample_319.jpg,0.0,fail,0.72,fail,fail
sample_320.jpg,0.0,fail,0.0,fail,fail
sample_321.jpg,0.0,fail,0.0,fail,fail
sample_322.jpg,0.0,fail,63.56,pass,fail
sample_323.jpg,22.62,fail,0.0,fail,fail
sample_324.jpg,11.95,fail,0.0,fail,fail
sample_325.jpg,0.0,fail,0.0,fail,fail
sample_326.jpg,17.19,fail,1.26,fail,fail
sample_327.jpg,0.0,fail,0.0,fail,fail
sample_328.jpg,0.0,fail,0.0,fail,fail
sample_329.jpg,0.0,fail,0.0,fail,fail
sample_330.jpg,0.0,fail,61.42,pass,fail
sample_331.jpg,0.0,fail,78.77,pass,fail
sample_332.jpg,0.0,fail,58.16,pass,fail
sample_333.jpg,0.0,fail,0.0,fail,fail
sample_334.jpg,0.0,fail,5.31,fail,fail
sample_335.jpg,0.0,fail,0.0,fail,fail
sample_336.jpg,19.58,fail,0.25,fail,fail
sample_337.jpg,0.0,fail,0.0,fail,fail
sample_338.jpg,0.0,fail,0.0,fail,fail
sample_339.jpg,0.0,fail,0.0,fail,fail
sample_340.jpg,0.0,fail,3.26,fail,fail
sample_341.jpg,46.37,pass,26.41,fail,fail
sample_342.jpg,0.0,fail,0.0,fail,fail
sample_343.jpg,0.0,fail,0.0,fail,fail
sample_344.jpg,2.62,fail,0.0,fail,fail
sample_345.jpg,6.14,fail,1.02,fail,fail
sample_346.jpg,0.0,fail,0.0,fail,fail
sample_347.jpg,0.0,fail,69.92,pass,fail
sample_348.jpg,0.0,fail,0.0,fail,fail
sample_349.jpg,0.0,fail,68.04,pass,fail
sample_350.jpg,0.0,fail,0.0,fail,fail
sample_351.jpg,13.62,fail,1.53,fail,fail
sample_352.jpg,22.7,fail,8.16,fail,fail
sample_353.jpg,0.0,fail,0.0,fail,fail
sample_354.jpg,0.0,fail,62.29,pass,fail
sample_355.jpg,0.0,fail,0.0,fail,fail
sample_356.jpg,0.0,fail,64.2,pass,fail
sample_357.jpg,0.0,fail,63.92,pass,fail
sample_358.jpg,0.0,fail,0.0,fail,fail
sample_359.jpg,17.4,fail,3.97,fail,fail
sample_360.jpg,0.0,fail,0.0,fail,fail
sample_361.jpg,0.0,fail,0.0,fail,fail
sample_362.jpg,0.0,fail,0.0,fail,fail
sample_363.jpg,0.0,fail,0.0,fail,fail
sample_364.jpg,19.44,fail,8.38,fail,fail
sample_365.jpg,0.0,fail,0.1,fail,fail
sample_366.jpg,0.0,fail,75.5,pass,fail
sample_367.jpg,19.99,fail,0.7,fail,fail
sample_368.jpg,5.58,fail,62.0,pass,fail
sample_369.jpg,0.0,fail,0.0,fail,fail
sample_370.jpg,0.0,fail,0.0,fail,fail
sample_371.jpg,57.53,pass,2.28,fail,fail
sample_372.jpg,0.0,fail,0.0,fail,fail
sample_373.jpg,3.62,fail,0.0,fail,fail
sample_374.jpg,0.0,fail,75.29,pass,fail
sample_375.jpg,0.0,fail,2.82,fail,fail
sample_376.jpg,0.0,fail,0.0,fail,fail
sample_377.jpg,0.0,fail,20.64,fail,fail
sample_378.jpg,0.0,fail,64.13,pass,fail
sample_379.jpg,29.11,pass,62.97,pass,pass
sample_380.jpg,5.04,fail,1.79,fail,fail
sample_381.jpg,4.95,fail,0.5,fail,fail
sample_382.jpg,28.86,pass,8.32,fail,fail
sample_383.jpg,0.0,fail,0.0,fail,fail
sample_384.jpg,0.0,fail,0.0,fail,fail
sample_385.jpg,27.31,pass,58.13,pass,pass
sample_386.jpg,0.0,fail,0.0,fail,fail
sample_387.jpg,23.86,fail,5.86,fail,fail
sample_388.jpg,23.93,fail,0.0,fail,fail
sample_389.jpg,0.0,fail,10.11,fail,fail
sample_390.jpg,0.0,fail,0.0,fail,fail
sample_391.jpg,0.0,fail,0.0,fail,fail
sample_392.jpg,16.02,fail,0.27,fail,fail
sample_393.jpg,0.0,fail,0.0,fail,fail
sample_394.jpg,11.91,fail,1.5,fail,fail
sample_395.jpg,0.0,fail,0.69,fail,fail
sample_396.jpg,48.22,pass,63.24,pass,pass
sample_397.jpg,0.0,fail,0.0,fail,fail
sample_398.jpg,0.0,fail,0.0,fail,fail
sample_399.jpg,0.0,fail,0.0,fail,fail
sample_400.jpg,7.42,fail,67.48,pass,fail
sample_401.jpg,0.0,fail,22.58,fail,fail
sample_402.jpg,8.51,fail,0.0,fail,fail
sample_403.jpg,0.0,fail,61.44,pass,fail
sample_404.jpg,0.0,fail,0.0,fail,fail
sample_405.jpg,0.0,fail,0.0,fail,fail
sample_406.jpg,28.56,pass,1.75,fail,fail
sample_407.jpg,0.0,fail,0.29,fail,fail
sample_408.jpg,0.0,fail,58.21,pass,fail
sample_409.jpg,57.67,pass,4.39,fail,fail
sample_410.jpg,0.0,fail,0.0,fail,fail
sample_411.jpg,0.0,fail,61.5,pass,fail
sample_412.jpg,0.0,fail,26.08,fail,fail
sample_413.jpg,2.12,fail,60.96,pass,fail
sample_414.jpg,0.0,fail,0.0,fail,fail
sample_415.jpg,0.0,fail,22.15,fail,fail
sample_416.jpg,0.0,fail,62.35,pass,fail
sample_417.jpg,0.0,fail,61.56,pass,fail
sample_418.jpg,-1.22,fail,0.0,fail,fail
sample_419.jpg,0.0,fail,0.0,fail,fail
sample_420.jpg,0.0,fail,72.23,pass,fail
sample_421.jpg,8.33,fail,0.0,fail,fail
sample_422.jpg,15.82,fail,67.67,pass,fail
sample_423.jpg,28.11,pass,0.0,fail,fail
sample_424.jpg,0.0,fail,60.48,pass,fail
sample_425.jpg,26.79,pass,6.6,fail,fail
sample_426.jpg,0.0,fail,0.0,fail,fail
sample_427.jpg,0.0,fail,75.08,pass,fail
sample_428.jpg,24.16,fail,4.4,fail,fail
sample_429.jpg,0.0,fail,58.12,pass,fail
sample_430.jpg,22.07,fail,0.0,fail,fail
sample_431.jpg,0.0,fail,19.5,fail,fail
sample_432.jpg,0.0,fail,61.36,pass,fail
sample_433.jpg,0.0,fail,0.0,fail,fail
sample_434.jpg,44.26,pass,9.74,fail,fail
